date,timestamp,metal,exchange,currency,price,prev_close_price,ch,chp
2021-12-02,1638441000000,XAG,LBMA,USD,22.395,22.86,-0.465,-2.0764
2021-12-03,1638527400000,XAG,LBMA,USD,22.35,22.395,-0.045,-0.2013
2021-12-04,1638613800000,XAG,LBMA,USD,22.35,22.35,0.0,0.0
2021-12-05,1638700200000,XAG,LBMA,USD,22.35,22.35,0.0,0.0
2021-12-06,1638786600000,XAG,LBMA,USD,22.34,22.35,-0.01,-0.0448
2021-12-07,1638873000000,XAG,LBMA,USD,22.435,22.34,0.095,0.4234
2021-12-08,1638959400000,XAG,LBMA,USD,22.425,22.435,-0.01,-0.0446
2021-12-09,1639045800000,XAG,LBMA,USD,22.25,22.425,-0.175,-0.7865
2021-12-10,1639132200000,XAG,LBMA,USD,21.895,22.25,-0.355,-1.6214
2021-12-11,1639218600000,XAG,LBMA,USD,21.895,21.895,0.0,0.0
2021-12-12,1639305000000,XAG,LBMA,USD,21.895,21.895,0.0,0.0
2021-12-13,1639391400000,XAG,LBMA,USD,22.22,21.895,0.325,1.4626
2021-12-14,1639477800000,XAG,LBMA,USD,22.17,22.22,-0.05,-0.2255
2021-12-15,1639564200000,XAG,LBMA,USD,21.805,22.17,-0.365,-1.6739
2021-12-16,1639650600000,XAG,LBMA,USD,22.175,21.805,0.37,1.6685
2021-12-17,1639737000000,XAG,LBMA,USD,22.645,22.175,0.47,2.0755
2021-12-18,1639823400000,XAG,LBMA,USD,22.645,22.645,0.0,0.0
2021-12-19,1639909800000,XAG,LBMA,USD,22.645,22.645,0.0,0.0
2021-12-20,1639996200000,XAG,LBMA,USD,22.295,22.645,-0.35,-1.5699
2021-12-21,1640082600000,XAG,LBMA,USD,22.745,22.295,0.45,1.9785
2021-12-22,1640169000000,XAG,LBMA,USD,22.66,22.745,-0.085,-0.3751
2021-12-23,1640255400000,XAG,LBMA,USD,22.815,22.66,0.155,0.6794
2021-12-24,1640341800000,XAG,LBMA,USD,22.815,22.815,0.0,0.0
2021-12-25,1640428200000,XAG,LBMA,USD,22.815,22.815,0.0,0.0
2021-12-26,1640514600000,XAG,LBMA,USD,22.815,22.815,0.0,0.0
2021-12-27,1640601000000,XAG,LBMA,USD,22.815,22.815,0.0,0.0
2021-12-28,1640687400000,XAG,LBMA,USD,22.815,22.815,0.0,0.0
2021-12-29,1640773800000,XAG,LBMA,USD,22.835,22.815,0.02,0.0876
2021-12-30,1640860200000,XAG,LBMA,USD,22.765,22.835,-0.07,-0.3075
2021-12-31,1640946600000,XAG,LBMA,USD,22.765,22.765,0.0,0.0
