https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1636970400000,2021-11-15 10:00:00,BTC/USDT,65975.13000000,66045.00000000,65726.92000000,65921.36000000,888.26185000,58522342.26498580,34797
1636966800000,2021-11-15 09:00:00,BTC/USDT,65735.33000000,66401.82000000,65663.47000000,65975.13000000,1884.02134000,124418582.90335930,68002
1636963200000,2021-11-15 08:00:00,BTC/USDT,65579.71000000,65835.00000000,65244.47000000,65735.32000000,1620.09103000,106099886.84260800,55528
1636959600000,2021-11-15 07:00:00,BTC/USDT,65666.00000000,65738.04000000,65475.01000000,65579.71000000,814.90438000,53469563.97261020,42508
1636956000000,2021-11-15 06:00:00,BTC/USDT,65696.50000000,65834.00000000,65610.00000000,65666.01000000,682.52593000,44852196.62610060,28834
1636952400000,2021-11-15 05:00:00,BTC/USDT,65766.41000000,65913.86000000,65666.42000000,65696.49000000,709.98983000,46708394.10643980,43429
1636948800000,2021-11-15 04:00:00,BTC/USDT,65712.66000000,66000.00000000,65698.01000000,65766.41000000,1099.06219000,72303342.45951070,46479
1636945200000,2021-11-15 03:00:00,BTC/USDT,65677.45000000,65995.00000000,65600.00000000,65712.65000000,950.19905000,62450040.66467760,34263
1636941600000,2021-11-15 02:00:00,BTC/USDT,65896.23000000,65942.76000000,65646.61000000,65677.44000000,1076.91135000,70819279.78434510,32249
1636938000000,2021-11-15 01:00:00,BTC/USDT,65875.18000000,65948.00000000,65535.00000000,65896.22000000,1606.24838000,105631177.41652930,44508
1636934400000,2021-11-15 00:00:00,BTC/USDT,65519.11000000,66200.00000000,65519.10000000,65875.17000000,4092.34168000,269839147.68312810,119665
1636930800000,2021-11-14 23:00:00,BTC/USDT,64520.01000000,65550.51000000,64341.77000000,65519.10000000,2816.59016000,183424117.11856650,71992
1636927200000,2021-11-14 22:00:00,BTC/USDT,64308.58000000,64900.00000000,64284.79000000,64520.00000000,1044.80130000,67489651.32196630,40403
1636923600000,2021-11-14 21:00:00,BTC/USDT,64221.78000000,64500.00000000,64050.00000000,64308.59000000,780.83326000,50195374.95867450,27996
1636920000000,2021-11-14 20:00:00,BTC/USDT,64169.99000000,64500.00000000,64040.47000000,64221.78000000,993.10978000,63806696.50013670,30983
1636916400000,2021-11-14 19:00:00,BTC/USDT,64028.34000000,64209.07000000,63872.46000000,64170.00000000,895.51018000,57349136.04424290,32659
1636912800000,2021-11-14 18:00:00,BTC/USDT,64188.62000000,64422.35000000,63830.00000000,64028.34000000,961.11469000,61616009.56293060,36670
1636909200000,2021-11-14 17:00:00,BTC/USDT,63705.58000000,64240.00000000,63601.81000000,64192.28000000,1246.64911000,79583267.05926420,56951
1636905600000,2021-11-14 16:00:00,BTC/USDT,64070.41000000,64211.00000000,63576.27000000,63705.58000000,1772.99450000,113259121.55515070,58929
1636902000000,2021-11-14 15:00:00,BTC/USDT,64354.39000000,64354.39000000,64000.00000000,64070.41000000,924.99579000,59334104.38731470,39662
1636898400000,2021-11-14 14:00:00,BTC/USDT,64630.66000000,64662.66000000,64148.27000000,64354.39000000,1031.53443000,66434416.16570870,42115
1636894800000,2021-11-14 13:00:00,BTC/USDT,64600.51000000,64799.00000000,64499.90000000,64630.66000000,856.55006000,55376574.22868990,36413
1636891200000,2021-11-14 12:00:00,BTC/USDT,64445.07000000,64758.76000000,64235.84000000,64600.52000000,892.72065000,57561641.21408990,42694
1636887600000,2021-11-14 11:00:00,BTC/USDT,64380.11000000,64478.69000000,64162.48000000,64445.07000000,776.88486000,50010849.73288060,28084
1636884000000,2021-11-14 10:00:00,BTC/USDT,64251.49000000,64500.00000000,64186.23000000,64380.11000000,762.60173000,49084592.85844320,29393
1636880400000,2021-11-14 09:00:00,BTC/USDT,64301.70000000,64400.15000000,64100.00000000,64251.49000000,813.42171000,52276589.14205290,30627
1636876800000,2021-11-14 08:00:00,BTC/USDT,64627.58000000,64800.00000000,64056.00000000,64301.70000000,1272.25739000,81906609.93761800,48187
1636873200000,2021-11-14 07:00:00,BTC/USDT,64800.01000000,64887.42000000,64439.73000000,64627.58000000,999.35912000,64632554.03304130,43500
1636869600000,2021-11-14 06:00:00,BTC/USDT,64898.39000000,65201.72000000,64700.00000000,64800.01000000,989.53371000,64254580.48220990,35312
1636866000000,2021-11-14 05:00:00,BTC/USDT,64748.65000000,65046.52000000,64400.00000000,64898.40000000,1038.73314000,67245890.92038560,33330
1636862400000,2021-11-14 04:00:00,BTC/USDT,64637.81000000,65014.79000000,64636.79000000,64748.66000000,650.54381000,42156625.59616480,27436
1636858800000,2021-11-14 03:00:00,BTC/USDT,64629.98000000,64838.60000000,64530.61000000,64637.81000000,733.63741000,47451742.71941700,30736
1636855200000,2021-11-14 02:00:00,BTC/USDT,64789.04000000,64925.07000000,64611.11000000,64629.99000000,639.41547000,41413977.07499050,26112
1636851600000,2021-11-14 01:00:00,BTC/USDT,64974.05000000,65079.99000000,64616.17000000,64789.04000000,807.45372000,52373628.30148710,31145
1636848000000,2021-11-14 00:00:00,BTC/USDT,64380.01000000,65320.00000000,64380.00000000,64974.06000000,2003.82749000,130236030.37834310,70064
1636844400000,2021-11-13 23:00:00,BTC/USDT,64275.24000000,64550.50000000,64220.70000000,64380.00000000,473.40227000,30471345.42384460,24295
1636840800000,2021-11-13 22:00:00,BTC/USDT,64365.82000000,64418.97000000,64116.00000000,64275.24000000,572.08908000,36789681.16393170,33379
1636837200000,2021-11-13 21:00:00,BTC/USDT,64359.30000000,64391.43000000,64113.00000000,64365.82000000,580.99379000,37330792.75457620,33014
1636833600000,2021-11-13 20:00:00,BTC/USDT,63941.65000000,64438.81000000,63918.89000000,64359.29000000,629.17701000,40372370.22422300,32427
1636830000000,2021-11-13 19:00:00,BTC/USDT,64134.68000000,64200.00000000,63829.01000000,63941.65000000,781.24450000,50001053.56445960,36870
1636826400000,2021-11-13 18:00:00,BTC/USDT,64659.03000000,64689.82000000,63920.00000000,64134.69000000,1438.77451000,92431146.67467890,52404
1636822800000,2021-11-13 17:00:00,BTC/USDT,64616.65000000,64692.16000000,64500.00000000,64659.02000000,728.22041000,47059082.77549210,36433
1636819200000,2021-11-13 16:00:00,BTC/USDT,64689.00000000,65000.00000000,64600.00000000,64616.64000000,1718.24918000,111391906.18314480,54819
1636815600000,2021-11-13 15:00:00,BTC/USDT,64725.77000000,64790.50000000,64523.76000000,64688.99000000,1030.99168000,66674652.89640450,43558
1636812000000,2021-11-13 14:00:00,BTC/USDT,63594.83000000,64843.00000000,63543.23000000,64725.78000000,3121.44962000,200938379.72230290,97567
1636808400000,2021-11-13 13:00:00,BTC/USDT,63530.26000000,63750.00000000,63462.00000000,63594.82000000,909.36653000,57803435.22959170,35226
1636804800000,2021-11-13 12:00:00,BTC/USDT,63554.23000000,63811.71000000,63427.86000000,63530.26000000,982.02587000,62419925.78622550,40687
1636801200000,2021-11-13 11:00:00,BTC/USDT,63707.03000000,63807.91000000,63502.26000000,63554.23000000,688.78270000,43836095.34908320,32035
1636797600000,2021-11-13 10:00:00,BTC/USDT,63453.17000000,63737.81000000,63373.34000000,63707.03000000,751.26069000,47743238.88121480,34462
1636794000000,2021-11-13 09:00:00,BTC/USDT,63807.28000000,63883.53000000,63360.22000000,63453.16000000,1354.30489000,86159428.79479430,44390
1636790400000,2021-11-13 08:00:00,BTC/USDT,64029.99000000,64081.50000000,63738.18000000,63807.29000000,655.04407000,41877894.97521580,29288
1636786800000,2021-11-13 07:00:00,BTC/USDT,63844.16000000,64123.00000000,63700.92000000,64029.99000000,781.93080000,49938661.79493590,29327
1636783200000,2021-11-13 06:00:00,BTC/USDT,63597.54000000,63866.76000000,63581.34000000,63844.16000000,686.09782000,43727422.11763370,28241
1636779600000,2021-11-13 05:00:00,BTC/USDT,63704.66000000,63846.93000000,63510.00000000,63597.54000000,640.36123000,40766960.92035870,28150
1636776000000,2021-11-13 04:00:00,BTC/USDT,63773.93000000,63922.99000000,63555.00000000,63704.67000000,694.29456000,44254626.40795260,27798
1636772400000,2021-11-13 03:00:00,BTC/USDT,63702.78000000,63880.00000000,63600.00000000,63773.94000000,659.86764000,42066279.15570120,27372
1636768800000,2021-11-13 02:00:00,BTC/USDT,63846.57000000,64017.32000000,63576.10000000,63702.78000000,838.44027000,53515265.30368580,34632
1636765200000,2021-11-13 01:00:00,BTC/USDT,64348.70000000,64412.94000000,63806.82000000,63846.58000000,942.57140000,60445659.98921960,34248
1636761600000,2021-11-13 00:00:00,BTC/USDT,64122.22000000,64455.00000000,64115.41000000,64348.69000000,846.03331000,54426307.50972130,33527
1636758000000,2021-11-12 23:00:00,BTC/USDT,63914.34000000,64367.72000000,63822.11000000,64122.23000000,884.66354000,56685042.20932280,33287
1636754400000,2021-11-12 22:00:00,BTC/USDT,64070.56000000,64195.98000000,63704.80000000,63914.33000000,764.18064000,48895674.14765190,35605
1636750800000,2021-11-12 21:00:00,BTC/USDT,64119.43000000,64502.79000000,63948.74000000,64070.56000000,1146.10277000,73604997.24746900,42701
1636747200000,2021-11-12 20:00:00,BTC/USDT,63845.00000000,64890.00000000,63833.49000000,64119.43000000,1797.41506000,115290969.08965050,62764
1636743600000,2021-11-12 19:00:00,BTC/USDT,63872.36000000,63906.01000000,63539.41000000,63845.01000000,951.51556000,60661549.23124000,37496
1636740000000,2021-11-12 18:00:00,BTC/USDT,63578.00000000,64089.99000000,63520.79000000,63872.36000000,1929.35803000,123239957.65766390,61368
1636736400000,2021-11-12 17:00:00,BTC/USDT,63082.75000000,63614.39000000,62909.31000000,63578.00000000,1940.49034000,122740937.19013370,62256
1636732800000,2021-11-12 16:00:00,BTC/USDT,63155.95000000,63361.12000000,62278.00000000,63082.75000000,4881.12046000,306411957.31087380,135969
1636729200000,2021-11-12 15:00:00,BTC/USDT,63467.18000000,63568.00000000,62900.00000000,63155.94000000,3315.88975000,209516801.70110520,96347
1636725600000,2021-11-12 14:00:00,BTC/USDT,63980.26000000,64200.00000000,63453.38000000,63467.18000000,2802.01504000,178809078.67479860,66176
1636722000000,2021-11-12 13:00:00,BTC/USDT,63814.03000000,64071.43000000,63244.24000000,63982.09000000,2044.13416000,130096269.97188490,72178
1636718400000,2021-11-12 12:00:00,BTC/USDT,63753.19000000,64199.00000000,63333.33000000,63814.04000000,2203.47537000,140619814.95328730,72643
1636714800000,2021-11-12 11:00:00,BTC/USDT,63651.67000000,64039.05000000,63501.00000000,63753.19000000,1637.27889000,104388974.23177440,54694
1636711200000,2021-11-12 10:00:00,BTC/USDT,63801.48000000,64212.98000000,63522.28000000,63651.68000000,2489.62998000,158919454.10764520,81279
1636707600000,2021-11-12 09:00:00,BTC/USDT,64890.63000000,64897.13000000,63622.28000000,63801.48000000,4005.81423000,256923696.52588550,115501
1636704000000,2021-11-12 08:00:00,BTC/USDT,64488.11000000,64957.97000000,64200.00000000,64890.64000000,1650.38641000,106714132.35892370,52080
1636700400000,2021-11-12 07:00:00,BTC/USDT,64502.43000000,64637.15000000,64202.68000000,64488.12000000,1415.95519000,91200775.23795060,55420
1636696800000,2021-11-12 06:00:00,BTC/USDT,64676.39000000,64840.44000000,64444.00000000,64502.41000000,898.39786000,58092954.00752360,43430
1636693200000,2021-11-12 05:00:00,BTC/USDT,64979.00000000,65018.54000000,64664.21000000,64676.39000000,712.61516000,46188451.37982600,33548
1636689600000,2021-11-12 04:00:00,BTC/USDT,64826.63000000,65075.79000000,64698.52000000,64978.99000000,1035.19464000,67150639.32686550,42009
1636686000000,2021-11-12 03:00:00,BTC/USDT,65010.42000000,65061.60000000,64696.50000000,64826.63000000,1149.36438000,74554971.91724440,45265
1636682400000,2021-11-12 02:00:00,BTC/USDT,65103.56000000,65450.70000000,64920.08000000,65010.42000000,1200.26704000,78229717.22472690,41641
1636678800000,2021-11-12 01:00:00,BTC/USDT,64808.14000000,65365.97000000,64052.00000000,65103.56000000,2384.12655000,154306923.04307520,81442
1636675200000,2021-11-12 00:00:00,BTC/USDT,64774.25000000,64946.78000000,64605.51000000,64808.14000000,1250.71711000,81042808.75751830,54050
1636671600000,2021-11-11 23:00:00,BTC/USDT,65160.27000000,65183.53000000,64774.04000000,64774.26000000,736.28787000,47852520.46656850,33236
1636668000000,2021-11-11 22:00:00,BTC/USDT,65036.07000000,65309.13000000,64863.52000000,65160.28000000,774.22644000,50427046.72547220,39861
1636664400000,2021-11-11 21:00:00,BTC/USDT,64796.10000000,65091.75000000,64722.18000000,65036.07000000,679.84283000,44126072.39618030,33790
1636660800000,2021-11-11 20:00:00,BTC/USDT,65119.99000000,65215.27000000,64628.39000000,64796.10000000,865.27187000,56224384.55885340,35214
1636657200000,2021-11-11 19:00:00,BTC/USDT,64746.00000000,65219.59000000,64722.22000000,65119.99000000,794.67449000,51663882.53979620,37708
1636653600000,2021-11-11 18:00:00,BTC/USDT,64925.32000000,65018.15000000,64573.99000000,64746.00000000,1048.90046000,67950631.08583890,43189
1636650000000,2021-11-11 17:00:00,BTC/USDT,65034.29000000,65249.00000000,64860.00000000,64925.32000000,1243.52611000,80910434.28555660,44115
1636646400000,2021-11-11 16:00:00,BTC/USDT,64799.59000000,65230.41000000,64715.86000000,65034.30000000,1613.37376000,104780777.98083730,55229
1636642800000,2021-11-11 15:00:00,BTC/USDT,65156.67000000,65350.22000000,64672.96000000,64799.60000000,1751.21762000,113773971.56080550,56107
1636639200000,2021-11-11 14:00:00,BTC/USDT,64747.72000000,65474.47000000,64402.49000000,65150.19000000,2455.05708000,159361488.74454770,79626
